"","DateT","Sighting_no","StartPos","Min","Best","Max","Dist","Bearing","PS","Behaviour","Species.x","Pic_no","EndPos","Grp_no","Biopsy","Comments","TimeEnd","elemk","typdat","varn","pdat","Latitude_decimal","Longitude_decimal","id","Genus","lat_name","Species.y","dist","Date","SST_6am","time_diff","wind_speed","visibility"
"164",2021-08-22 10:45:00,133,"43d51.5286N 58d53.8854W",4,5,5,800,30,"P",NA,"northern bottlenose","C1:     C2: 138 - 273, c1: 8920 - 9166","43d51.8538N 58d54.1263W",1,NA,"c1 is photos from mast, tailslap",2021-08-22 11:10:00,NA,NA,NA,NA,43.85881,58.89809,164,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,1.23333333333333,8,5
"165",2021-08-22 11:21:00,135,"43d51.9476N 58d54.328W",2,2,2,300,45,"S",NA,"sowerby's","C1:     C2:","43d52.0142N 58d54.3717W",1,NA,"no photos",2021-08-22 11:23:00,NA,NA,NA,NA,43.8657933333333,58.9054666666667,165,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-22,20.2,38,8,5
"166",2021-08-22 11:20:00,134,"43d51.8971N 58d54.2425W",1,1,1,600,45,"S","Trav","northern bottlenose","C1:     C2:","43d52.4299N 58d54.5699W",1,NA,"no photos",2021-08-22 11:30:00,NA,NA,NA,NA,43.8649516666667,58.9040416666667,166,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,39,8,5
"167",2021-08-22 12:11:00,135,"43d52.5639N 58d54.9123W",4,5,5,300,120,"S","Trav Brea Mill","northern bottlenose","C1:9167 -9269     C2:275-302","d  d",1,NA,"na",2021-08-22 12:27:00,NA,NA,NA,NA,43.876065,58.915205,167,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,12,8,5
"168",2021-08-22 13:57:00,140,"43d51.7421N 58d54.4223W",1,1,1,400,80,"S","Trav","sowerby's","C1:     C2:","d  d",1,NA,"na",2021-08-22 14:02:00,NA,NA,NA,NA,43.8623683333333,58.9070383333333,168,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-22,20.2,1.1,8,3
"169",2021-08-22 14:26:00,141,"43d51.2837N 58d53.8867W",2,3,3,400,40,"S","Trav Mill","northern bottlenose","C1 (mast photos):   9868-9974  C2:0542-0592","d  d",1,NA,"na",2021-08-22 14:38:00,NA,NA,NA,NA,43.8547283333333,58.8981116666667,169,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,37,8,3
"170",2021-08-22 14:49:00,144,"43d51.4313N 58d54.0182W",4,4,4,150,45,"S","Trav","sowerby's","C1:  9977-9992   C2: 594-620","d  d",1,NA,"na",2021-08-22 14:53:00,NA,NA,NA,NA,43.8571883333333,58.9003033333333,170,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-22,20.2,14,8,3
"171",2021-08-22 14:50:00,145,"43d51.4319N 58d54.0002W",4,4,4,55,75,"P","Trav","northern bottlenose","C1:   9993-0079  C2:621-673","d  d",1,NA,"na",2021-08-22 15:00:00,NA,NA,NA,NA,43.8571983333333,58.9000033333333,171,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,13,8,3
"172",2021-08-22 15:10:00,146,"43d51.1715N 58d53.9324W",1,1,1,120,90,"S",NA,"sowerby's","C1:     C2:","d  d",1,NA,"na",2021-08-22 15:12:00,NA,NA,NA,NA,43.8528583333333,58.8988733333333,172,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-22,20.2,7,8,3
"173",2021-08-22 15:29:00,149,"43d51.6564N 58d54.4649W",1,2,2,200,80,"P","Rest","pilot whale","C1:     C2:","43d51.5887N 58d54.8262W",1,NA,"na",2021-08-22 15:25:00,NA,NA,NA,NA,43.86094,58.9077483333333,173,"Glob","Globicephala melas","pilot whale",0,2021-08-22,20.2,26,8,3
"174",2021-08-22 15:36:00,150,"43d51.5928N 58d54.8289W",1,1,1,300,175,"S",NA,"sowerby's","C1:     C2:","43d51.5893N 58d54.7431W",1,NA,"na",2021-08-22 15:40:00,NA,NA,NA,NA,43.85988,58.913815,174,"Meso","Mesoplodon bidens","sowerby’s beaked whale",0.249158249158249,2021-08-22,20.2,33,8,3
"175",2021-08-22 15:28:00,148,"43d51.672N 58d54.2797W",2,2,2,300,90,"P","Mill","northern bottlenose","C1:0080-0127     C2: 675 - 763","43d51.6188N 58d54.7358W",1,NA,"c1 photos from mast",2021-08-22 15:38:00,NA,NA,NA,NA,43.8612,58.9046616666667,175,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,25,8,3
"176",2021-08-22 15:49:00,149,"43d51.6674N 58d54.8609W",1,1,1,500,35,"S",NA,"northern bottlenose","C1:     C2:","d  d",1,NA,"na",2021-08-22 16:03:00,NA,NA,NA,NA,43.8611233333333,58.9143483333333,176,"Hyp","Hyperoodon ampullatus","northern bottlenose whale",0.0800000000000001,2021-08-22,20.2,46,8,3
